Binary table of [V] component

Run/Size   CodeSize   CodeWord
 0  0         0        0
 0  1         2        10
 0  2         1        1
 0  3         2        11
 0  4         3        110
 0  5         4        1111
 0  6         0        0
 0  7         0        0
 0  8         7        1101110
 0  9         0        0
 0  10         0        0
 0  11         0        0
 0  12         0        0
 0  13         0        0
 0  14         0        0
 0  15         0        0
 1  0         0        0
 1  1         3        101
 1  2         3        100
 1  3         4        1011
 1  4         0        0
 1  5         5        11011
 1  6         7        1101010
 1  7         7        1110101
 1  8         0        0
 1  9         0        0
 1  10         0        0
 1  11         0        0
 1  12         0        0
 1  13         0        0
 1  14         0        0
 1  15         0        0
 2  0         0        0
 2  1         3        111
 2  2         4        1000
 2  3         5        10000
 2  4         7        1101111
 2  5         7        1110110
 2  6         7        1110000
 2  7         0        0
 2  8         0        0
 2  9         0        0
 2  10         0        0
 2  11         0        0
 2  12         0        0
 2  13         0        0
 2  14         0        0
 2  15         0        0
 3  0         0        0
 3  1         4        1001
 3  2         4        1010
 3  3         7        1100010
 3  4         7        1110111
 3  5         0        0
 3  6         7        1111000
 3  7         0        0
 3  8         0        0
 3  9         0        0
 3  10         0        0
 3  11         0        0
 3  12         0        0
 3  13         0        0
 3  14         0        0
 3  15         0        0
 4  0         0        0
 4  1         4        1101
 4  2         4        1110
 4  3         7        1100110
 4  4         0        0
 4  5         0        0
 4  6         0        0
 4  7         0        0
 4  8         0        0
 4  9         0        0
 4  10         0        0
 4  11         0        0
 4  12         0        0
 4  13         0        0
 4  14         0        0
 4  15         0        0
 5  0         0        0
 5  1         5        10101
 5  2         5        10110
 5  3         7        1101100
 5  4         0        0
 5  5         0        0
 5  6         0        0
 5  7         0        0
 5  8         0        0
 5  9         0        0
 5  10         0        0
 5  11         0        0
 5  12         0        0
 5  13         0        0
 5  14         0        0
 5  15         0        0
 6  0         0        0
 6  1         0        0
 6  2         5        10010
 6  3         7        1101101
 6  4         0        0
 6  5         0        0
 6  6         0        0
 6  7         0        0
 6  8         0        0
 6  9         0        0
 6  10         0        0
 6  11         0        0
 6  12         0        0
 6  13         0        0
 6  14         0        0
 6  15         0        0
 7  0         0        0
 7  1         0        0
 7  2         7        1100000
 7  3         7        1110010
 7  4         0        0
 7  5         0        0
 7  6         0        0
 7  7         0        0
 7  8         0        0
 7  9         0        0
 7  10         0        0
 7  11         0        0
 7  12         0        0
 7  13         0        0
 7  14         0        0
 7  15         0        0
 8  0         0        0
 8  1         5        11001
 8  2         7        1100111
 8  3         0        0
 8  4         7        1111001
 8  5         0        0
 8  6         0        0
 8  7         0        0
 8  8         0        0
 8  9         0        0
 8  10         0        0
 8  11         0        0
 8  12         0        0
 8  13         0        0
 8  14         0        0
 8  15         0        0
 9  0         0        0
 9  1         5        11010
 9  2         5        11000
 9  3         0        0
 9  4         0        0
 9  5         0        0
 9  6         0        0
 9  7         0        0
 9  8         0        0
 9  9         0        0
 9  10         0        0
 9  11         0        0
 9  12         0        0
 9  13         0        0
 9  14         0        0
 9  15         0        0
 10  0         0        0
 10  1         7        1100011
 10  2         7        1100001
 10  3         7        1111010
 10  4         0        0
 10  5         0        0
 10  6         0        0
 10  7         0        0
 10  8         0        0
 10  9         0        0
 10  10         0        0
 10  11         0        0
 10  12         0        0
 10  13         0        0
 10  14         0        0
 10  15         0        0
 11  0         0        0
 11  1         7        1101011
 11  2         7        1101000
 11  3         7        1111011
 11  4         0        0
 11  5         0        0
 11  6         0        0
 11  7         0        0
 11  8         0        0
 11  9         0        0
 11  10         0        0
 11  11         0        0
 11  12         0        0
 11  13         0        0
 11  14         0        0
 11  15         0        0
 12  0         0        0
 12  1         7        1110001
 12  2         7        1101001
 12  3         0        0
 12  4         0        0
 12  5         0        0
 12  6         0        0
 12  7         0        0
 12  8         0        0
 12  9         0        0
 12  10         0        0
 12  11         0        0
 12  12         0        0
 12  13         0        0
 12  14         0        0
 12  15         0        0
 13  0         0        0
 13  1         7        1110011
 13  2         7        1100100
 13  3         0        0
 13  4         0        0
 13  5         0        0
 13  6         0        0
 13  7         0        0
 13  8         0        0
 13  9         0        0
 13  10         0        0
 13  11         0        0
 13  12         0        0
 13  13         0        0
 13  14         0        0
 13  15         0        0
 14  0         0        0
 14  1         0        0
 14  2         7        1110100
 14  3         0        0
 14  4         0        0
 14  5         0        0
 14  6         0        0
 14  7         0        0
 14  8         0        0
 14  9         0        0
 14  10         0        0
 14  11         0        0
 14  12         0        0
 14  13         0        0
 14  14         0        0
 14  15         0        0
 15  0         7        1100101
 15  1         0        0
 15  2         0        0
 15  3         0        0
 15  4         0        0
 15  5         0        0
 15  6         0        0
 15  7         0        0
 15  8         0        0
 15  9         0        0
 15  10         0        0
 15  11         0        0
 15  12         0        0
 15  13         0        0
 15  14         0        0
 15  15         0        0
